.1ord,ord_regex,.1definition,.1subgrupp,huvudgrupp
säkerhetsövervakning,,it-säkerhet,it-säkerhet,
j2ee,,java,java,
j2se,,java,java,
java,,java,java,
java,,java,java,
java,,java,java,
java based,,java,java,
java enterprise edition,,java,java,
java programming,,java,java,
java swing,,java,java,
java_ee,,java,java,
java-applikationer,,java,java,
java8,,java,java,
javabaserad,,java,java,
javabaserade,,java,java,
javabaserade,,java,java,
javafx,,java,java,
javagruppering,,java,java,
javajobb,,java,java,
javakompetens,,java,java,
javakonsulter,,java,java,
javakunskaper,,java,java,
javamiljö,,java,java,
javaområdet,,java,java,
javaplattformen,,java,java,
javapos,,java,java,
javapreferably,,java,java,
javaprofil,,java,java,
javaprogrammering,,java,java,
javaprogrammering,,java,java,
javascriptkod,,java,javascript,
javase,,java,java,
javaserver,,java,java,
javateam,,java,java,
javautvecklare,,java,java,
javautvecklare,,java,java,
javautveckling,,java,java,
javautveckling,,java,java,
javautvikling,,java,java,
java beans,,javabeans,java,
javabeans,,javabeans,java,
javabeans,,javabeans,java,
javabeans3,,javabeans,java,
javadoc,,javadoc,java,
javaee,,javaee,java,
javaee-utveckling,,javaee,java,
javascript,,javascript,javascript,
javascript,,javascript,javascript,
javascript,,javascript,javascript,
javascript utvecklare,,javascript,javascript,
javascript-bibliotek,,javascript,javascript,
javascriptare,,javascript,javascript,
javascriptbibliotek,,javascript,javascript,
javascriptramverk,,javascript,javascript,
javascriptutvecklare,,javascript,javascript,
javascriptutveckling,,javascript,javascript,
javascriptvärlden,,javascript,javascript,
js__ramar,,javascript frameworks,javascript,
javascript bibliotek,,javascript framworks,javascript,
javascript framework,,javascript framworks,javascript,
javascript frameworks,,javascript framworks,javascript,
javascript ramverk,,javascript framworks,javascript,
javascriptramverken,,javascript framworks,javascript,
atlassian jira,,jira,jira,
jira,,jira,jira,
j query,,jquery,jquery,
jquery,,jquery,jquery,
json,,json,json,
jsoniq,,jsoniq,jsoniq,
jsonnet,,jsonnet,jsonnet,
jupyter notebook,,jyputer,jyputer,
jupiter,,jypyter,jyputer,
kanban,,kanban,workflow,
kartapplikationer,,kartteknik,kartteknik,
kartering,,kartteknik,kartteknik,
kartframställning,,kartteknik,kartteknik,
kartsystem,,kartteknik,kartteknik,
kartteknik,,kartteknik,kartteknik,
karttjänster,,kartteknik,kartteknik,
kartverktyg,,kartteknik,kartteknik,
kerberos,,kerberos,kerberos,
knockout,,knockout.js,javascript,
knockout js,,knockout.js,javascript,
knockout.js,,knockout.js,javascript,
kodanalys,,kodanalys,kodanalys,
kodgranskning,,kodanalys,kodanalys,
kodoptimering,,kodanalys,kodanalys,
kodtest,,kodtester,testning,
kompilator,,kompilatorteknik,kompilatorteknik,
kompilatorteknik,,kompilatorteknik,kompilatorteknik,
kotlin,,kotlin,kotlin,
kryptering,,kryptografi,kryptografi,
krypteringsteknik,,kryptografi,kryptografi,
krypto,,kryptografi,kryptografi,
kryptoapparater,,kryptografi,kryptografi,
kryptografi,,kryptografi,kryptografi,
kryptologi,,kryptografi,kryptografi,
kryptolösningar,,kryptografi,kryptografi,
kryptoprodukter,,kryptografi,kryptografi,
kryptosystem,,kryptografi,kryptografi,
kryptoteknik,,kryptografi,kryptografi,
kubernetes,,kubernetes,kubernetes,
känslighetsanalyser,,känslighetsanalyser,it-säkerhet,
laboratorieautomation,,laboratorieautomation,laboratorie,
laboratoriedatasystem,,laboratoriedatasystem,laboratorie,
laboratorieteknik,,laboratorieteknik,laboratorie,
lambda,,lambda,lambda,
laravel,,laravel,laravel,
lean,,lean,workflow,
ledarerfarenhet,,ledarerfarenhet,ledarerfarenhet,
ledarskap,,ledarerfarenhet,ledarerfarenhet,
ledarskapserfarenhet,,ledarerfarenhet,ledarerfarenhet,
less,,less,css,
licens,,licenser,licenser,
licensavtal,,licenser,licenser,
licensfrågor,,licenser,licenser,
licenshantering,,licenser,licenser,
licensiering,,licenser,licenser,
licensieringsfrågor,,licenser,licenser,
linesupport,,linesupport,linesupport,
linjär algebra,,linjär algebra,linjär algebra,
lint,,linter,linter,
linter,,linter,linter,
enterprise linux,,linux,operativsystem,
linux,,linux,linux,
linux kernel,,linux,linux,
linux operativsystem,,linux,linux,
linux-miljö,,linux,linux,
linux-system,,linux,linux,
linuxadministration,,linux,linux,
linuxlösningar,,linux,linux,
linuxprodukter,,linux,linux,
linuxserver,,linux,linux,
linuxvana,,linux,linux,
operativsystemet linux,,linux,operativsystem,
lisp,,lisp,lisp,
lastbalanserare,,loadbalancer,loadbalancer,
lastbalansering,,loadbalancer,loadbalancer,
lastdelare,,loadbalancer,loadbalancer,
load balancers,,loadbalancer,loadbalancer,
load balancing,,loadbalancer,loadbalancer,
loadtest,,loadtest,testning,
logganalys,,logghantering,logghantering,
logganalysverktyg,,logghantering,logghantering,
logghantering,,logghantering,logghantering,
logghanteringssystem,,logghantering,logghantering,
loggning,,logghantering,logghantering,
logstash,,logstash,logghantering,
lua,,lua,lua,
machine learning,,machine learning,machine learning,
ml,,machine learning,machine learning,
mac,,macos,macos,
mac-miljö,,macos,macos,
macos,,macos,macos,
os x,,macos,macos,
mailchimp,,mailchimp,mailchimp,
mailservers,,mailservers,mailservers,
makefile,,makefile,makefile,
manuell testning,,manuell testning,testning,
mapreduce,,mapreduce,mapreduce,
mariadb,,mariadb,mysql,
marionette,,marionette.js,javascript,
marionette.js,,marionette.js,javascript,
markdown,,markdown,markdown,
maskininlärning,,maskininlärning,maskininlärning,
maskinnära programmering,,maskinnära programmering,programmering,
mathlab,,matlab,matlab,
matlab,,matlab,matlab,
matlab simulink,,matlab,matlab,
simulink,,matlab,matlab,
maya,,maya,3d,
metasploit,,metasploit,metasploit,
meteor,,meteor,javascript,
meteor.js__ramverket,,meteor,javascript,
microcontrollers,,microcontroller,microcontroller,
micro service,,microservices,microservices,
micro services,,microservices,microservices,
microservice,,microservices,microservices,
microservice architecture,,microservices,microservices,
microservice based,,microservices,microservices,
microservicearkitektur,,microservices,microservices,
microservices,,microservices,microservices,
microtjänster,,microservices,microservices,
mikroservicearkitektur,,microservices,microservices,
mikrotjenester,,microservices,microservices,
mikrotjänst arkitektur,,microservices,microservices,
mikrotjänster,,microservices,microservices,
microsoft,,microsoft,microsoft,
microsoft-miljö,,microsoft,microsoft,
microsoft access,,microsoft access,microsoft access,
microsoft app-v,,microsoft app-v,microsoft,
microsoft biztalk,,microsoft biztalk,microsoft biztalk,
microsoft certified professional,,microsoft certified professional,microsoft certified professional,
microsoft certified system engineer,,microsoft certified system engineer,microsoft certified system engineer,
microsoft dynamics,,microsoft dynamics,microsoft dynamics,
microsoft dynamics ax,,microsoft dynamics,microsoft dynamics,
microsoft dynamics nav,,microsoft dynamics,microsoft dynamics,
ax__applikationen,,microsoft dynamics ax,microsoft dynamics ax,
ax__installationer,,microsoft dynamics ax,microsoft dynamics ax,
ax__konsult,,microsoft dynamics ax,microsoft dynamics ax,
ax__miljön,,microsoft dynamics ax,microsoft dynamics ax,
microsoft exchange,,microsoft exchange,microsoft exchange,
microsoft intune,,microsoft intune,microsoft intune,
microsoft lync,,microsoft lync,microsoft lync,
microsoft miljöer,,microsoft miljöer,microsoft,
microsoft office,,microsoft office,microsoft,
microsoft sql,,microsoft sql,sql,
ms__sql,,microsoft sql,sql,
microsoft visio,,microsoft visio,microsoft visio,
microsoft windows,,microsoft windows,windows,
xna,,microsoft xna,plattform,
microsoftcertifikat,,microsoftcertifikat,microsoft,
microsoftprodukter,,microsoftprodukter,microsoft,
microsofts operativsystem,,microsofts operativsystem,microsoft,
microsofts plattformar,,microsofts plattformar,microsoft,
microsofts produktsvit,,microsofts produktsvit,microsoft,
microsofts serverplattformar,,microsofts serverplattformar,microsoft,
microsofts utvecklingsmiljö,,microsofts utvecklingsmiljö,microsoft,
middleware,,middleware,middleware,
mikrocontroller,,mikrocontroller,mikrocontroller,
mikrodator,,mikrodator,mikrodator,
mikroprocessor,,mikroprocessor,mikroprocessor,
mikroskopi,,mikroskopi,mikroskopi,
mjukvaruarkitektur,,mjukvaruarkitektur,mjukvarukunskap,
mjukvarubaserad,,mjukvarubaserad,mjukvarukunskap,
mjukvarudesign,,mjukvarudesign,mjukvarukunskap,
mjukvaruerfarenhet,,mjukvaruerfarenhet,mjukvarukunskap,
mjukvarufrågor,,mjukvarufrågor,mjukvarukunskap,
mjukvaruföretag,,mjukvaruföretag,mjukvarukunskap,
mjukvaruimplementation,,mjukvaruimplementation,mjukvarukunskap,
mjukvaruinstallationer,,mjukvaruinstallationer,mjukvarukunskap,
mjukvaruintegration,,mjukvaruintegration,mjukvarukunskap,
mjukvarukomponenter,,mjukvarukomponenter,mjukvarukunskap,
mjukvarukonstruktion,,mjukvarukonstruktion,mjukvarukunskap,
mjukvarukravställning,,mjukvarukravställning,mjukvarukunskap,
mjukvarukvalitet,,mjukvarukvalitet,mjukvarukunskap,
mjukvarulicenser,,mjukvarulicenser,mjukvarukunskap,
mjukvarulösningar,,mjukvarulösningar,mjukvarukunskap,
mjukvaruprodukter,,mjukvaruprodukter,mjukvarukunskap,
mjukvaruprovning,,mjukvaruprovning,mjukvarukunskap,
mjukvarusystem,,mjukvarusystem,mjukvarukunskap,
mjukvaruteknik,,mjukvaruteknik,mjukvarukunskap,
mjukvarutestning,,mjukvarutestning,testning,
programvarutestning,,mjukvarutestning,testning,
mjukvarutjänster,,mjukvarutjänster,mjukvarukunskap,
mjukvaruuppdateringar,,mjukvaruuppdateringar,mjukvarukunskap,
mjukvaruutveckling,,mjukvaruutveckling,mjukvarukunskap,
mjukvaruutvecklingsmetoder,,mjukvaruutvecklingsmetoder,mjukvarukunskap,
mjukvaruverifiering,,mjukvaruverifiering,mjukvarukunskap,
mjukvaruverktyg,,mjukvaruverktyg,mjukvarukunskap,
mobila applikationer,,mobila applikationer,mobilapputveckling,
mobila enheter,,mobila enheter,mobilapputveckling,
mobilanpassning,,mobilanpassning,mobilapputveckling,
mobilappar,,mobilappar,mobilapputveckling,
mobilapplikationer,,mobilapplikationer,mobilapputveckling,
mobilapplikationsprojekt,,mobilapplikationsprojekt,mobilapputveckling,
mobilapplikationsutveckling,,mobilapplikationsutveckling,mobilapputveckling,
mobilappsutveckling,,mobilappsutveckling,mobilapputveckling,
mobildesign,,mobildesign,mobilapputveckling,
mobilspel,,mobilspel,mobilapputveckling,
modultest,,modultest,testning,
molnapplikationer,,molnapplikationer,cloud,
molnarkitektur,,molnarkitektur,cloud,
molnberäkningar,,molnberäkningar,cloud,
molndrift,,molndrift,cloud,
molninfrastruktur,,molninfrastruktur,cloud,
molnlösningar,,molnmiljöer,cloud,
molnmiljöer,,molnmiljöer,cloud,
molnmiljöer,,molnmiljöer,cloud,
molnteknologi,,molnteknologi,cloud,
molnteknologi,,molnteknologi,cloud,
molnutveckling,,molnutveckling,cloud,
mongo,,mongodb,nosql,
mongodb,,mongodb,nosql,
msi,,msi-paketering,msi-paketering,
msi-paketering,,msi-paketering,msi-paketering,
multicast,,multicast,multicast,
flertrådade,,multithreading,multithreading,
multithreading,,multithreading,multithreading,
multitrådning,,multithreading,multithreading,
trådning,,multithreading,multithreading,
mvc,,mvc,mvc,
mvc__arkitektur,,mvc,mvc,
mvc__modellen,,mvc,mvc,
mvc__ramverk,,mvc,mvc,
mvc-ramverk,,mvc,mvc,
mvc5,,mvc,mvc,
bapis,,mysap,mysap,
msql,,mysql,sql,
mssql,,mysql,sql,
mysql,,mysql,sql,
mysql__databases,,mysql,sql,
xadmysql,,mysql,sql,
människa-datorinteraktion,,människa-datorinteraktion,människa-datorinteraktion,
nas,,nas,nas,
gps,,navigationssystem,navigationssystem,
navigationssystem,,navigationssystem,navigationssystem,
neo4j,,neo4j,neo4j,
network security,,network security,nework security,
nätsäkerhet,,network security,network security,
nätverkssäkerhet,,network security,network security,
neurala nätverk,,neurala nätverk,neurala nätverk,
next,,nextjs,nextjs,front-end utveckling
next js,,nextjs,nextjs,front-end utveckling
next.js,,nextjs,nextjs,front-end utveckling
nextjs,,nextjs,nextjs,front-end utveckling
nginx,,nginx,webserver,
ngnix,,nginx,webserver,
nmap,,nmap,nmap,
node,,node.js,node.js,
node.js,,node.js,node.js,
nodejs,,node.js,node.js,
nodes,,node.js,node.js,
nonsql,,nosql,nosql,
nosql,,nosql,nosql,
nosql,,nosql,nosql,
nosql databases,,nosql,nosql,
nosql__databaser,,nosql,nosql,
nosql-databaser,,nosql,nosql,
npm,,npm,npm,
nvidia,,nvidia,nvidia,
nätverk,,nätverksadministration,nätverksadministration,
nätverksadministration,,nätverksadministration,nätverksadministration,
nätverksanalys,,nätverksadministration,nätverksadministration,
nätverksarbete,,nätverksadministration,nätverksadministration,
nätverksarkitektur,,nätverksadministration,nätverksadministration,
nätverksdesign,,nätverksadministration,nätverksadministration,
nätverksdrift,,nätverksadministration,nätverksadministration,
nätverkserfarenhet,,nätverksadministration,nätverksadministration,
nätverksinfrastruktur,,nätverksadministration,nätverksadministration,
nätverksinriktning,,nätverksadministration,nätverksadministration,
nätverksinstallationer,,nätverksadministration,nätverksadministration,
nätverkskameror,,nätverksadministration,nätverksadministration,
nätverkskommunikation,,nätverksadministration,nätverksadministration,
nätverkskonfiguration,,nätverksadministration,nätverksadministration,
nätverkslösningar,,nätverksadministration,nätverksadministration,
nätverksmiljöer,,nätverksadministration,nätverksadministration,
nätverksområdet,,nätverksadministration,nätverksadministration,
nätverksprodukter,,nätverksadministration,nätverksadministration,
nätverkssystem,,nätverksadministration,nätverksadministration,
nätverkstrafik,,nätverksadministration,nätverksadministration,
nätverksunderhåll,,nätverksadministration,nätverksadministration,
nätverksuppbyggnad,,nätverksadministration,nätverksadministration,
nätverksfelsökning,,nätverksfelsökning,nätverksfelsökning,
nätverkskunskaper,,nätverkskunskaper,generellt,
nätverksprogrammering,,nätverksprogrammering,nätverksprogrammering,
nätverksprotokoll,,nätverksprotokoll,nätverksprotokoll,
nätverkssupport,,nätverkssupport,nätverkssupport,
nätverksteknik,,nätverksteknik,nätverksteknik,
nätverkstjänster,,nätverkstjänster,nätverkstjänster,
nätverksutrustning,,nätverksutrustning,nätverksutrustning,
nätverksverktyg,,nätverksverktyg,nätverksverktyg,
nätverksvideo,,nätverksvideo,nätverksvideo,
nätverksövervakning,,nätverksövervakning,nätverksövervakning,
nätövervakning,,nätövervakning,nätövervakning,
oauth,,oauth,oauth,
oauth2,,oauth2,oauth,
objective c,,objective c,objective c,
objective_c,,objective c,objective c,
objective-c,,objective c,objective c,
objective-c++,,objective c++,objective c++,
objective-j,,objective-j,objective-j,
objektorienterad,,objektorienterad,objektorienterad,
objektorienterad analys och design,,objektorienterad design,objektorienterad,
objektorienterad design,,objektorienterad design,objektorienterad,
objektorienterad mjukvaruutveckling,,objektorienterad programmering,objektorienterad,
objektorienterad programmering,,objektorienterad programmering,objektorienterad,
objektorienterad systemutveckling,,objektorienterad programmering,objektorienterad,
objektorienterade språk,,objektorienterad programmering,objektorienterad,
objektorientering,,objektorienterad programmering,objektorienterad,
open source,,open source,open source,
open-source,,open source,open source,
opensource,,open source,open source,
opensource bibliotek,,open source,open source,
opensource produkter,,open source,open source,
opensource projekt,,open source,open source,
opensource teknologier,,open source,open source,
opensource verktyg,,open source,open source,
öppen källkod,,open source,open source,
openbsd,,openbsd,openbsd,
opencv,,opencv,opencv,
opengl,,opengl,opengl,
openid,,openid,openid,
operating systems,,operativsystem,operativsystem,
operativsystem,,operativsystem,operativsystem,
operativsystemsinstallationer,,operativsystem,operativsystem,
optimering,,optimering,,
optimeringslära,,optimering,,
optimeringsprojekt,,optimering,,
optimeringsverktyg,,optimering,,
oracle,,oracle,oracle,
oracle bi,,oracle bi,oracle,
oracle brm,,oracle brm,oracle,
oracle e-business,,oracle e-business,oracle,
oracle forms,,oracle forms,oracle,
oracle fusion,,oracle fusion,oracle,
oracle pl,,oracle pl,oracle,
oracle reports,,oracle reports,oracle,
oracle warehouse builder,,oracle warehouse builder,oracle,
oracle weblogic,,oracle weblogic,oracle,
pl-sql,,oracle-sql,sql,
sqlpl,,oracle-sql,sql,
oracle data integrator,,oracledatabaser,oracle,
oracle db,,oracledatabaser,oracle,
oracledatabaser,,oracledatabaser,oracle,
oracledb,,oracledatabaser,oracle,
superanvändare,,os-admin,generellt,
superuser,,os-admin,os-admin,
osi-modellen,,osi-model,osi-model,
pandas,,pandas,pandas,
partitionering,,partitionering,partitionering,
penetrationstest,,penetrationstest,testning,
prestandaanalys,,perfomance,perfomance,
prestandaoptimering,,perfomance,perfomance,
performance testing,,performance testing,testning,
prestandatester,,performance testing,testning,
prestandatestverktyg,,performance testing,testning,
performance tuning,,performance tuning,performance tuning,
perl,,perl,perl,
perl 6,,perl,perl,
perl6,,perl,perl,
fullt personalansvar,,personalansvar,personalansvar,
personuppgiftsbehandling,,personuppgiftsbehandling,personuppgiftsbehandling,
personuppgiftshantering,,personuppgiftsbehandling,personuppgiftsbehandling,
personuppgiftslagen,,personuppgiftsbehandling,personuppgiftsbehandling,
objektorienterad php,,php,php,
php,,php,php,
php__baserade,,php,php,
php__programmerare,,php,php,
php__utvcklare,,php,php,
php__utvecklare,,php,php,
php__utveckling,,php,php,
php7,,php,php,
phpunit,,php,php,
phy,,php,php,
pop,,pop,pop,
pop3,,pop,pop,
posix,,posix,operativ system,
postfix,,postfix,postfix,
postgis,,postgis,sql,
plpgsql,,postgresql,sql,
plsql,,postgresql,sql,
postgre,,postgresql,sql,
postgres,,postgresql,sql,
postgresql,,postgresql,sql,
postman,,postman,postman,
microsoft bi,,power bi,power bi,
power bi,,power bi,power bi,
powerbi,,power bi,power bi,
powerbi lösningar,,power bi,power bi,
powerbi utvecklare,,power bi,power bi,
powershell,,powershell,powershell,
windows powershell,,powershell,powershell,
prisma,,prisma,prisma,
product managers,,product managers,workflow,
produktionstest,,produktionstest,testning,
produktägarskap,,produktägarskap,workflow,
programmering,,programmering,programmering,
programmeringsarbete,,programmering,programmering,
programmeringserfarenhet,,programmering,programmering,
programmeringsfärdigheter,,programmering,programmering,
programmeringsmetodik,,programmering,programmering,
programmeringsprojekt,,programmering,programmering,
programmeringsspråk,,programmering,programmering,
programmeringsteknik,,programmering,programmering,
programmeringsverktyg,,programmering,programmering,
programming languages,,programmering,programmering,
programspråk,,programmering,programmering,
programutveckling,,programmering,programmering,
programvarudesign,,programmering,programmering,
programvaruutveckling,,programmering,programmering,
programmering av robotsystem,,programmering av robotsystem,programmering,
prototype,,prototyping,prototyping,
prototypframtagning,,prototyping,prototyping,
prototyping,,prototyping,prototyping,
prototypproduktion,,prototyping,prototyping,
prototyputveckling,,prototyping,prototyping,
prototypverktyg,,prototyping,prototyping,
proxy,,proxy,proxy,
putty,,putty,ssh-verktyg,
phyton,,python,python,
python,,python,python,
python ide,,python,python,
pyton,,python,python,
qlickview,,qlik,qlik,
qlik__miljö,,qlik,qlik,
qlik__utvecklare,,qlik,qlik,
qlik_nprinting,,qlik,qlik,
qlikprodukter,,qlik,qlik,
qliksense,,qlik,qlik,
qlikview,,qlik,qlik,
r,,r,r,
rabbit mq,,rabbitmq,,
rabbitmq,,rabbitmq,,
raid,,raid,raid,
react,,react,react,front-end
react,,react,react,front-end
react js,,react,react,front-end
react native,,react,react,front-end
react.js,,react native,react native,apputveckling
reactivex,,reactivex,reactivex,
rx,,reactivex,reactivex,
red hat,,redhat,redhat,
redhat,,redhat,redhat,
redhat enterprise,,redhat,redhat,
redis,,redis,redis,
redux,,redux,react,front-end
redux,,redux,react,front-end
redux es6,,redux,react,front-end
redux saga,,redux saga,react,front-end
refactoring,,refactoring,generellt,
regressionstestning,,regressionstestning,testning,
relational databases,,relational databases,relational databases,
relationsdatabaser,,relational databases,relational databases,
relationsdatabashantering,,relational databases,relational databases,
release management,,release management,generellt,
releasehantering,,release management,generellt,
distansarbete,,remote work,remote work,
remoteverktyg,,remoteverktyg,generellt,
responsiv design,,responsiv design,design,
responsiv webbdesign,,responsiv design,design,
responsive design,,responsiv design,design,
rest,,rest api,api,
rest api,,rest api,api,
rest api,,rest api,api,
rest api:er,,rest api,api,
rest api:s,,rest api,api,
rest api’s,,rest api,api,
rest apier,,rest api,api,
rest apis,,rest api,api,
restful,,rest api,api,
reverse engineering,,reverse engineering,reverse engineering,
reverse proxy,,reverse proxy,reverse proxy,
robotprogrammering,,robotprogrammering,programmering,
routingprotokoll,,routingprotokoll,routingprotokoll,
ruby,,ruby,ruby,
ruby on rails,,ruby on rails,ruby on rails,
rubyonrails,,ruby on rails,ruby on rails,
rust,,rust,rust,
rxjava,,rxjava,rxjava,
rxjs,,rxjs,rsjs,
rxswift,,rxswift,rxswift,
saas-tjänster,,saas,saas,
saashosting,,saas,saas,
safari,,safari,webbläsare,
saml,,saml,saml,
saml 2.0,,saml 2.0,saml,
sampling,,sampling,sampling,
sap,,sap,sap,
sap__konsult,,sap,sap,
SAP_BPC,,sap,sap,
sap-system,,sap,sap,
sap bw,,sap bw,sap,
sap data services,,sap data services,sap,
sap netweaver,,sap netweaver,sap,
sap pi,,sap netweaver process integration,sap,
sass,,sass,css,
scada,,scada,scada,
scada system,,scada,scada,
scada__program,,scada,scada,
scada__programmering,,scada,scada,
scada-system,,scada,scada,
scala,,scala,scala,
scala__utvecklare,,scala,scala,
scaled agile framework,,scaled agile framework,workflow,
sccm,,sccm,sccm,
sccm__specialister,,sccm,sccm,
sccm__tekniker,,sccm,sccm,
scikit-learn,,scikit-learn,scikit-learn,
scilab,,scilab,scilab,
scp,,scp,scp,
script,,scripting,scripting,
script languages,,scripting,scripting,
scriptande,,scripting,scripting,
scripterfarenhet,,scripting,scripting,
scripthantering,,scripting,scripting,
scripting languages,,scripting,scripting,
scriptingspråk,,scripting,scripting,
scriptning,,scripting,scripting,
scriptprogrammering,,scripting,scripting,
scripts,,scripting,scripting,
scriptspråken,,scripting,scripting,
skriptprogrammering,,scripting,scripting,
skripts,,scripting,scripting,
skriptspråk,,scripting,scripting,
scrum,,scrum,workflow,
scss,,scss,css,
2nd line,,second-line support,second-line support,it-support
second line,,second-line support,second-line support,
second-line support,,second-line support,second-line support,
sekretesslagen,,sekretesslagen,sekretesslagen,
selenium,,selenium,selenium,
selenium webdriver,,selenium,selenium,
testverktyget selenium,,selenium testning,testning,
sökmotorannonsering,,sem,sem,
sökmotormarknadsföring,,sem,sem,
seo,,seo,marknadsföring,
sökmotoroptimering,,seo,seo,
sökordsoptimering,,seo,seo,
serveradministration,,servers,servers,
serverapplikationer,,servers,servers,
serverdrift,,servers,servers,
servererfarenhet,,servers,servers,
serverhall,,servers,servers,
serverhantering,,servers,servers,
serverhårdvara,,servers,servers,
serverinfrastruktur,,servers,servers,
serverinstallationer,,servers,servers,
serverkonfiguration,,servers,servers,
serverkunskaper,,servers,servers,
serverlösningar,,servers,servers,
servermiljö,,servers,servers,
serveroperativ,,servers,servers,
serveroperativsystem,,servers,servers,
serverprodukter,,servers,servers,
serverprogramvaror,,servers,servers,
serversystem,,servers,servers,
serverteknik,,servers,servers,
servertjänster,,servers,servers,
serverutrustning,,servers,servers,
serverutveckling,,servers,servers,
servrar,,servers,servers,
sharepoint,,sharepoint,sharepoint,
sharepoint lösningar,,sharepoint,sharepoint,
sharepoint miljöer,,sharepoint,sharepoint,
sharepoint utvecklare,,sharepoint,sharepoint,
sharepoint utveckling,,sharepoint,sharepoint,
sharepoint-miljö,,sharepoint,sharepoint,
sharepointlösningar,,sharepoint,sharepoint,
schellscript,,shell,shell,
shell,,shell,shell,
shell script,,shell,shell,
skalbarhetsfrågor,,skalning,skalning,
skalning,,skalning,skalning,
sketch,,sketch,sketch,
slack,,slack,slack,
smoketester,,smoketester,testning,
smtp,,smtp,smtp,
socketio,,socketio,socketio,
splunk,,splunk,splunk,
sql,,sql,sql,
sql databaser,,sql,sql,
sql databases,,sql,sql,
sql kunskaper,,sql,sql,
sql loader,,sql,sql,
sql programmering,,sql,sql,
sql server,,sql,sql,
sql server integration services,,sql,sql,
sql språk,,sql,sql,
sql-databaser,,sql,sql,
sql-script,,sql,sql,
sql-server,,sql,sql,
sqlite,,sqlite,sql,
svg,,svg,svg,
swagger,,swagger,swagger,
swift,,swift,swift,
systemtest,,system test,testning,
systemtestarbete,,system test,testning,
tensorflow,,tensorflow,tensorflow,
terminal,,terminal,terminal,
testanalys,,testanalys,testning,
testdatadesign,,testdatadesign,testning,
testdatahantering,,testdatahantering,testning,
testdesign,,testdesign,testning,
testfallsdesign,,testdesign,testning,
testdokumentation,,testdokumentation,testning,
testdriven utveckling,,testdriven utveckling,workflow,
test planning,,testning,testning,
testarbete,,testning,testning,
tester,,testning,testning,
testerfarenhet,,testning,testning,
testexekvering,,testning,testning,
testfallsutveckling,,testning,testning,
testfrågor,,testning,testning,
testgenomförande,,testning,testning,
testinstruktioner,,testning,testning,
testkunskaper,,testning,testning,
testkörning,,testning,testning,
testledning,,testning,testning,
testlink,,testning,testning,
testmanagementverktyg,,testning,testning,
testmetoder,,testning,testning,
testmetodik,,testning,testning,
testmiljöer,,testning,testning,
testmjukvara,,testning,testning,
testng,,testning,testning,
testning,,testning,testning,
testning av mjukvara,,testning,testning,
testområdet,,testning,testning,
testplanering,,testning,testning,
testprocessen,,testning,testning,
testprogram,,testning,testning,
testprojekt,,testning,testning,
testrail,,testning,testning,
testramverk,,testning,testning,
testrapportering,,testning,testning,
testspecifikationer,,testning,testning,
teststand,,testning,testning,
teststrategi,,testning,testning,
testsystem,,testning,testning,
testsäkring,,testning,testning,
testteknik,,testning,testning,
testtäckning,,testning,testning,
testutförande,,testning,testning,
testutrustning,,testning,testning,
testutveckling,,testning,testning,
testverksamhet,,testning,testning,
testverktyg,,testning,testning,
3rd line,,third-line support,third-line support,it-support
third line,,third-line support,third-line support,
third-line support,,third-line support,third-line support,
three.js,,three.js,three.js,
t__sql,,transact sql,sql,
transact,,transact sql,sql,
transact sql,,transact sql,sql,
tsql,,transact sql,sql,
trello,,trello,trello,
typescript,,typescript,typescript,
ubuntu,,ubuntu,ubuntu,
udp,,udp,udp,nätverksadministration
user interface,,ui,ui,
ui-design,,ui-design,design,
ui-tester,,ui-tester,testning,
uml,,uml,uml,
uml-modellering,,uml,uml,
unit testing,,unit testing,testning,
unit-testing,,unit testing,testning,
unit tests,,unit tests,testning,
unity,,unity,gameengine,
unity3d,,unity,gameengine,
unix,,unix,unix,
unix shell,,unix,unix,
unix-administration,,unix,unix,
unix-miljöer,,unix,unix,
unix-plattformar,,unix,unix,
unix-system,,unix,unix,
unreal,,unreal engine,unreal engine,
unreal engine,,unreal engine,unreal engine,
unrealscript,,unrealscript,unreal engine,
user test,,user test,testning,
user experience,,ux design,ux design,
ux,,ux design,ux design,
ux-utveckling,,ux design,ux design,
validering,,validering,validering,
valideringsarbete,,validering,validering,
valideringsverksamhet,,validering,validering,
version control,,versionhantering,versionhantering,
versionering,,versionhantering,versionhantering,
versioning,,versionhantering,versionhantering,
versions,,versionhantering,versionhantering,
versionshantering,,versionhantering,versionhantering,
versionshanteringsprogram,,versionhantering,versionhantering,
versionshanteringssystem,,versionhantering,versionhantering,
versionshanteringssystemen,,versionhantering,versionhantering,
versionshanteringsverktyg,,versionhantering,versionhantering,
versionskontroll,,versionhantering,versionhantering,
versionskontrollsystem,,versionhantering,versionhantering,
versionsuppdateringar,,versionhantering,versionhantering,
versionsverktyg,,versionhantering,versionhantering,
källkodshantering,,versionshantering,versionshantering,
källkodshanteringssystem,,versionshantering,versionshantering,
vim script,,vim,vim,
vim snippet,,vim,vim,
hyper-v,,virtual machine,virtual machine,
virtualiserade miljöer,,virtual machine,virtual machine,
virtuella miljöer,,virtual machine,virtual machine,
vms,,virtual machine,virtual machine,
vr,,virtual reality,virtual reality,
virtualisering,,virtualisering,virtualisering,
